pecha id,language,url
P09342330,en,https://github.com/OpenPecha/P09342330
P4454C414,de,https://github.com/OpenPecha/P4454C414
PAC8691B5,es,https://github.com/OpenPecha/PAC8691B5
P2819F728,fr,https://github.com/OpenPecha/P2819F728
P6E7E41EB,it,https://github.com/OpenPecha/P6E7E41EB
PC778BCFD,nl,https://github.com/OpenPecha/PC778BCFD
PDDB2D339,pt,https://github.com/OpenPecha/PDDB2D339
PB0C0AD3C,zh,https://github.com/OpenPecha/PB0C0AD3C
P5939B33C,bo,https://github.com/OpenPecha/P5939B33C
